Month,February,,,,,,,,
Days in Month,28,,,,,,,,
Month Number,2,,,,,,,,
,,,,,,,,,
Delegate,Flip Flop Flap Delegate LLC,ultraschuppi,Feedblack Loops LLC,monetsupply,MakerMan,Gauntlet,ACREinvest,JustinCase,GFX Labs
Day of Month,,,,,,,,,
01/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,1000,59.4455943,30.24159684
02/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
03/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
04/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
05/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
06/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
07/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
08/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
09/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
10/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
11/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
12/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
13/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
14/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
15/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
16/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
17/02/2022,32893.06876,20244.66529,10102.26015,5043.673187,5031.024877,3000,3000,59.4455943,30.24159684
18/02/2022,32893.06876,20244.66529,10102.26015,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
19/02/2022,32893.06876,20244.66529,10102.26015,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
20/02/2022,32893.06876,20244.66529,10102.26015,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
21/02/2022,32893.06876,20244.66529,10102.26015,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
22/02/2022,32893.06876,20244.66529,10102.26015,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
23/02/2022,32893.06876,20244.66529,10102.26015,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
24/02/2022,32893.06876,20244.66529,10094.58307,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
25/02/2022,32893.06876,20244.66529,10094.58307,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
26/02/2022,32893.06876,20244.66529,10094.58307,5286.311672,5031.024877,3000,3000,59.4455943,30.24159684
27/02/2022,32893.06876,20244.66529,10094.58307,5286.311672,5031.024877,3000,3000,62.1881644,30.24159684
28/02/2022,32893.06876,20244.66529,10094.58307,5286.311672,5031.024877,3000,3000,62.1881644,30.24159684
,,,,,,,,,
Average (Max 10k),10000,10000,10000,5138.995449,5031.024877,3000,2928.571429,59.64149216,30.24159684
